@relation wubalubadubdub
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute class numeric
@data
10, 0, 0.028316847, 99, 7.449832213, 42.00283081, 0.157109955, 7.2, 126.966
50, -2, 0.01194617, 58, 5.630275304, 42.00509068, 0.161374556, 11.2, 115.969
20, -1.65, 0.001048772, 7, 8.443932733, 42.00202822, 0.144612086, 10.5, 134.034
10, -7.7, 0.000131097, 77, 8.443932733, 42.0264269, 1.88423797, 22.6, 131.865
12.5, -2.65, 0.01194617, 31, 6.292853089, 42.00614329, 0.243274284, 12.5, 125.721
25, 0, 0.003539606, 2, 8.443932733, 42.0015988, 0.11399444, 7.2, 128.127
40, -8.7, 1.63871E-05, 15, 7.449832213, 42.0165706, 0.9196683, 24.6, 121.771
4, -2.65, 0.01194617, 41, 6.292853089, 42.00614329, 0.243274284, 12.5, 131.221
20, 0, 0.000131097, 17, 6.292853089, 42.00079182, 0.031356151, 7.2, 132.918
63, -1, 0.01194617, 30, 5.630275304, 42.00372371, 0.118041607, 9.2, 115.137
6.3, -2.4, 1.63871E-05, 33, 5.630275304, 42.00093079, 0.029506011, 12, 120.078
31.5, 0, 0.028316847, 7, 8.443932733, 42.00266337, 0.189898281, 7.2, 125.201
100, -1.35, 0.003539606, 89, 8.443932733, 42.00243851, 0.173865763, 9.9, 116.724
25, 0, 0.001048772, 93, 5.630275304, 42.00150092, 0.047579164, 7.2, 132.003
40, -3.65, 0.01194617, 81, 5.630275304, 42.0132672, 0.42057024, 14.5, 112.639
31.5, -3.6, 0.003539606, 43, 6.292853089, 42.00909175, 0.3600333, 14.4, 111.818
5, -1.35, 0.003539606, 40, 6.292853089, 42.00294804, 0.116742384, 9.9, 121.009
2, -7.7, 0.000131097, 47, 8.443932733, 42.0264269, 1.88423797, 22.6, 123.595
6.3, -2.7, 0.003539606, 39, 6.292853089, 42.00485029, 0.192071484, 12.6, 132.357
63, -1.5, 0.028316847, 24, 6.292853089, 42.00495741, 0.196313436, 10.2, 114.042
25, -4.2, 0.000131097, 33, 5.630275304, 42.00580776, 0.184105992, 15.6, 125.576
125, -2, 0.01194617, 52, 8.443932733, 42.00400603, 0.285629939, 11.2, 114.258
3.15, -2.65, 0.01194617, 79, 6.292853089, 42.00614329, 0.243274284, 12.5, 129.691
5, -6.3, 0.003539606, 19, 6.292853089, 42.0584113, 2.31308748, 19.8, 114.9
25, -4.45, 0.001048772, 27, 8.443932733, 42.0103088, 0.73501744, 16.1, 123.623
10, -8.7, 1.63871E-05, 70, 6.292853089, 42.0172206, 0.68193576, 24.6, 138.274
25, 0, 0.000131097, 75, 6.292853089, 42.00079182, 0.031356151, 7.2, 134.938
80, -1.5, 0.028316847, 33, 6.292853089, 42.00495741, 0.196313436, 10.2, 110.652
25, 0, 0.01194617, 40, 7.449832213, 42.00229336, 0.12728148, 7.2, 126.54
10, -4.2, 0.000131097, 25, 5.630275304, 42.00580776, 0.184105992, 15.6, 129.516
50, -6.15, 0.001048772, 21, 5.630275304, 42.0418756, 1.32745652, 19.5, 107.147
3.15, -2.7, 0.003539606, 16, 6.292853089, 42.00485029, 0.192071484, 12.6, 125.347
10, 0, 0.003539606, 93, 7.449832213, 42.00172668, 0.09583074, 7.2, 128.583
16, 0, 0.001048772, 44, 7.449832213, 42.00131983, 0.073250565, 7.2, 132.05
6.3, -1, 0.01194617, 32, 5.630275304, 42.00372371, 0.118041607, 9.2, 129.057
16, -4.45, 0.001048772, 15, 8.443932733, 42.0103088, 0.73501744, 16.1, 128.763
80, 0, 0.001048772, 30, 8.443932733, 42.00121072, 0.086324336, 7.2, 125.465
50, 0, 0.028316847, 16, 7.449832213, 42.00283081, 0.157109955, 7.2, 119.606
10, -6.35, 1.63871E-05, 32, 6.292853089, 42.0130253, 0.51580188, 19.9, 130.947
3.15, -0.75, 0.028316847, 14, 6.292853089, 42.00392107, 0.155274372, 8.7, 121.851
100, 0, 1.63871E-05, 100, 8.443932733, 42.00040068, 0.028568627, 7.2, 130.787
80, 0, 0.003539606, 25, 5.630275304, 42.00209405, 0.066381385, 7.2, 117.957
20, -1, 0.01194617, 7, 5.630275304, 42.00372371, 0.118041607, 9.2, 123.037
4, -2, 0.028316847, 85, 8.443932733, 42.00497773, 0.354912149, 11.2, 129.575
31.5, -4.95, 0.003539606, 52, 6.292853089, 42.0233328, 0.92397888, 17.1, 113.525
80, 0, 0.028316847, 16, 8.443932733, 42.00266337, 0.189898281, 7.2, 117.151
4, -1, 0.01194617, 43, 6.292853089, 42.00346574, 0.137243304, 9.2, 122.147
31.5, -4.75, 1.63871E-05, 12, 6.292853089, 42.00449821, 0.178129116, 16.7, 129.934
10, 0, 0.003539606, 22, 5.630275304, 42.00209405, 0.066381385, 7.2, 130.987
125, -1.35, 0.003539606, 56, 8.443932733, 42.00243851, 0.173865763, 9.9, 113.034
16, -1.5, 0.028316847, 77, 5.630275304, 42.00529514, 0.167855938, 10.2, 122.088
50, -2.1, 0.000131097, 17, 6.292853089, 42.00152689, 0.060464844, 11.4, 129.777
40, -2, 0.028316847, 64, 6.292853089, 42.00579636, 0.229535856, 11.2, 115.863
8, -4.95, 0.003539606, 25, 8.443932733, 42.0193001, 1.37609713, 17.1, 128.879
25, -1.65, 0.001048772, 20, 7.449832213, 42.002211, 0.1227105, 10.5, 132.889
12.5, -6.15, 0.001048772, 92, 8.443932733, 42.0337792, 2.40845696, 19.5, 126.648
6.3, -3.65, 0.01194617, 30, 8.443932733, 42.0104404, 0.74440052, 14.5, 133.768
3.15, -5.6, 0.000131097, 53, 6.292853089, 42.0150478, 0.59589288, 18.4, 128.99
5, -4.95, 0.003539606, 89, 7.449832213, 42.0208438, 1.1568309, 17.1, 127.815
16, 0, 0.01194617, 92, 5.630275304, 42.0027238, 0.08634446, 7.2, 125.625
40, -4.95, 0.003539606, 5, 7.449832213, 42.0208438, 1.1568309, 17.1, 112.945
8, 0, 0.028316847, 65, 5.630275304, 42.00331266, 0.105011322, 7.2, 129.235
10, -4.75, 1.63871E-05, 55, 6.292853089, 42.00449821, 0.178129116, 16.7, 130.374
50, -6.3, 0.003539606, 71, 6.292853089, 42.0584113, 2.31308748, 19.8, 104.13
3.15, -11.1, 1.63871E-05, 58, 8.443932733, 42.0214178, 1.52708914, 29.4, 115.857
8, -1, 0.01194617, 83, 8.443932733, 42.00293031, 0.208931103, 9.2, 128.216
31.5, -2.1, 0.000131097, 36, 8.443932733, 42.00142788, 0.101807844, 11.4, 133.728
3.15, -11.1, 1.63871E-05, 16, 6.292853089, 42.0229028, 0.90695088, 29.4, 120.716
16, -1.65, 0.001048772, 5, 6.292853089, 42.00245138, 0.097074648, 10.5, 133.071
50, -2.1, 0.000131097, 3, 8.443932733, 42.00142788, 0.101807844, 11.4, 132.828
50, -8.7, 1.63871E-05, 67, 6.292853089, 42.0172206, 0.68193576, 24.6, 119.854
6.3, -3.35, 0.001048772, 23, 7.449832213, 42.0052139, 0.28937145, 13.9, 133.023
10, -11.1, 1.63871E-05, 42, 6.292853089, 42.0229028, 0.90695088, 29.4, 128.416
25, -6.15, 0.001048772, 43, 7.449832213, 42.0368233, 2.04369315, 19.5, 117.054
100, 0, 0.003539606, 86, 7.449832213, 42.00172668, 0.09583074, 7.2, 119.253
40, -5.6, 0.000131097, 16, 8.443932733, 42.014072, 1.0033336, 18.4, 122.471
100, 0, 0.028316847, 66, 8.443932733, 42.00266337, 0.189898281, 7.2, 115.391
5, -2.65, 0.01194617, 50, 6.292853089, 42.00614329, 0.243274284, 12.5, 132.251
2.5, -6.15, 0.001048772, 26, 7.449832213, 42.0368233, 2.04369315, 19.5, 133.294
4, -7.8, 0.001048772, 25, 8.443932733, 42.0437259, 3.11765667, 22.8, 134.058
3.15, -3.6, 0.003539606, 40, 8.443932733, 42.00752039, 0.536203807, 14.4, 128.713
50, -6.15, 0.001048772, 64, 7.449832213, 42.0368233, 2.04369315, 19.5, 112.014
63, -4.45, 0.001048772, 76, 6.292853089, 42.0124596, 0.49340016, 16.1, 113.11
31.5, -2, 0.01194617, 58, 6.292853089, 42.00473801, 0.187625196, 11.2, 120.419
20, -6.15, 0.001048772, 5, 5.630275304, 42.0418756, 1.32745652, 19.5, 110.447
16, 0, 0.01194617, 34, 6.292853089, 42.00253511, 0.100390356, 7.2, 127.095
6.3, -1.65, 0.001048772, 30, 7.449832213, 42.002211, 0.1227105, 10.5, 126.599
31.5, -1.5, 0.028316847, 68, 6.292853089, 42.00495741, 0.196313436, 10.2, 118.922
10, -2.4, 1.63871E-05, 77, 6.292853089, 42.00090748, 0.03593601, 12, 122.956
31.5, 0, 0.001048772, 98, 5.630275304, 42.00150092, 0.047579164, 7.2, 129.973
2.5, -7.7, 0.000131097, 23, 6.292853089, 42.0282593, 1.11906828, 22.6, 122.893
20, -4.2, 0.000131097, 54, 7.449832213, 42.00544854, 0.30239397, 15.6, 133.042
31.5, 0, 0.000131097, 51, 8.443932733, 42.00074048, 0.052796081, 7.2, 135.07
20, -4.2, 0.000131097, 10, 5.630275304, 42.00580776, 0.184105992, 15.6, 127.686
10, -5.6, 0.000131097, 26, 6.292853089, 42.0150478, 0.59589288, 18.4, 132.43
31.5, -2.4, 1.63871E-05, 5, 7.449832213, 42.00087322, 0.048463599, 12, 132.354
63, -2.7, 0.003539606, 87, 6.292853089, 42.00485029, 0.192071484, 12.6, 116.677
12.5, 0, 0.028316847, 16, 6.292853089, 42.00310138, 0.122814648, 7.2, 125.499
3.15, -6.15, 0.001048772, 83, 7.449832213, 42.0368233, 2.04369315, 19.5, 135.674
10, 0, 0.028316847, 87, 5.630275304, 42.00331266, 0.105011322, 7.2, 127.365
25, -2, 0.01194617, 9, 5.630275304, 42.00509068, 0.161374556, 11.2, 120.209
160, -2, 0.01194617, 59, 8.443932733, 42.00400603, 0.285629939, 11.2, 112.768
2.5, -8.7, 1.63871E-05, 38, 5.630275304, 42.0176631, 0.55992027, 24.6, 116.956
20, -4.75, 1.63871E-05, 72, 5.630275304, 42.00461377, 0.146256509, 16.7, 130.496
10, -1.5, 0.028316847, 38, 8.443932733, 42.00425727, 0.303543351, 10.2, 129.004
100, 0, 1.63871E-05, 11, 5.630275304, 42.00043947, 0.013931262, 7.2, 134.227
16, -2, 0.01194617, 49, 5.630275304, 42.00509068, 0.161374556, 11.2, 125.229
12.5, -2.1, 0.000131097, 56, 6.292853089, 42.00152689, 0.060464844, 11.4, 128.427
2, -9.85, 0.000131097, 26, 8.443932733, 42.0341183, 2.43263479, 26.9, 118.005
20, -3.35, 0.001048772, 22, 7.449832213, 42.0052139, 0.28937145, 13.9, 129.653
50, -2.7, 0.003539606, 76, 5.630275304, 42.00525474, 0.166575258, 12.6, 115.691
40, -1, 0.01194617, 90, 8.443932733, 42.00293031, 0.208931103, 9.2, 124.086
10, 0, 0.001048772, 23, 5.630275304, 42.00150092, 0.047579164, 7.2, 131.313
8, -4.75, 1.63871E-05, 83, 8.443932733, 42.00420654, 0.299926302, 16.7, 127.206
40, -11.1, 1.63871E-05, 23, 8.443932733, 42.0214178, 1.52708914, 29.4, 123.917
31.5, 0, 0.001048772, 12, 8.443932733, 42.00121072, 0.086324336, 7.2, 131.955
31.5, -1.65, 0.001048772, 52, 6.292853089, 42.00245138, 0.097074648, 10.5, 128.401
125, -2.4, 1.63871E-05, 81, 8.443932733, 42.00084863, 0.060507533, 12, 127.688
16, -2, 0.028316847, 47, 8.443932733, 42.00497773, 0.354912149, 11.2, 126.645
25, -4.75, 1.63871E-05, 48, 5.630275304, 42.00461377, 0.146256509, 16.7, 130.086
63, 0, 0.001048772, 47, 6.292853089, 42.00146332, 0.057947472, 7.2, 125.631
6.3, -5.6, 0.000131097, 67, 8.443932733, 42.014072, 1.0033336, 18.4, 133.611
50, 0, 0.001048772, 55, 6.292853089, 42.00146332, 0.057947472, 7.2, 126.021
31.5, -6.15, 0.001048772, 48, 5.630275304, 42.0418756, 1.32745652, 19.5, 110.307
5, 0, 0.003539606, 34, 5.630275304, 42.00209405, 0.066381385, 7.2, 121.617
2, -6.3, 0.003539606, 3, 6.292853089, 42.0584113, 2.31308748, 19.8, 114.75
12.5, 0, 0.001048772, 49, 6.292853089, 42.00146332, 0.057947472, 7.2, 132.271
5, -7.7, 0.000131097, 10, 7.449832213, 42.0271925, 1.50918375, 22.6, 127.22
100, -2, 0.028316847, 3, 8.443932733, 42.00497773, 0.354912149, 11.2, 110.905
4, -4.75, 1.63871E-05, 17, 5.630275304, 42.00461377, 0.146256509, 16.7, 124.756
5, -8.7, 1.63871E-05, 56, 5.630275304, 42.0176631, 0.55992027, 24.6, 127.676
2, -4.75, 1.63871E-05, 45, 5.630275304, 42.00461377, 0.146256509, 16.7, 119.146
40, -2.1, 0.000131097, 94, 8.443932733, 42.00142788, 0.101807844, 11.4, 133.598
12.5, 0, 0.000131097, 72, 7.449832213, 42.00076193, 0.042287115, 7.2, 127.076
16, -1, 0.01194617, 65, 5.630275304, 42.00372371, 0.118041607, 9.2, 125.797
25, -8.7, 1.63871E-05, 9, 7.449832213, 42.0165706, 0.9196683, 24.6, 124.931
2, -4.45, 0.001048772, 46, 8.443932733, 42.0103088, 0.73501744, 16.1, 133.503
12.5, -8.7, 1.63871E-05, 77, 8.443932733, 42.016104, 1.1482152, 24.6, 126.356
2, 0, 0.028316847, 2, 5.630275304, 42.00331266, 0.105011322, 7.2, 117.195
10, -4.45, 0.001048772, 89, 6.292853089, 42.0124596, 0.49340016, 16.1, 129.58
40, -6.15, 0.001048772, 51, 7.449832213, 42.0368233, 2.04369315, 19.5, 114.404
31.5, -1.35, 0.003539606, 51, 6.292853089, 42.00294804, 0.116742384, 9.9, 122.919
3.15, -9.85, 0.000131097, 40, 8.443932733, 42.0341183, 2.43263479, 26.9, 121.235
2.5, -7.7, 0.000131097, 72, 7.449832213, 42.0271925, 1.50918375, 22.6, 124.17
63, -11.1, 1.63871E-05, 32, 8.443932733, 42.0214178, 1.52708914, 29.4, 123.127
40, -6.35, 1.63871E-05, 86, 8.443932733, 42.0121808, 0.86849104, 19.9, 131.808
4, -3.65, 0.01194617, 67, 5.630275304, 42.0132672, 0.42057024, 14.5, 130.269
31.5, -11.1, 1.63871E-05, 53, 8.443932733, 42.0214178, 1.52708914, 29.4, 124.127
6.3, -3.35, 0.001048772, 1, 5.630275304, 42.00592927, 0.187957859, 13.9, 132.116
