@relation wubalubadubdub
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute class numeric
@data
8, -7.8, 0.001048772, 84, 8.443932733, 42.0437259, 3.11765667, 22.8, 124.188
12.5, -2.7, 0.003539606, 54, 7.449832213, 42.00433288, 0.24047484, 12.6, 130.777
2, -4.45, 0.001048772, 46, 8.443932733, 42.0103088, 0.73501744, 16.1, 133.503
20, 0, 0.01194617, 2, 7.449832213, 42.00229336, 0.12728148, 7.2, 126.54
6.3, -3.35, 0.001048772, 1, 5.630275304, 42.00592927, 0.187957859, 13.9, 132.116
16, -4.45, 0.001048772, 15, 8.443932733, 42.0103088, 0.73501744, 16.1, 128.763
5, -4.95, 0.003539606, 89, 7.449832213, 42.0208438, 1.1568309, 17.1, 127.815
50, 0, 1.63871E-05, 74, 5.630275304, 42.00043947, 0.013931262, 7.2, 138.607
40, 0, 0.001048772, 51, 5.630275304, 42.00150092, 0.047579164, 7.2, 126.933
31.5, -1.65, 0.001048772, 52, 6.292853089, 42.00245138, 0.097074648, 10.5, 128.401
50, -2.1, 0.000131097, 17, 6.292853089, 42.00152689, 0.060464844, 11.4, 129.777
25, -4.2, 0.000131097, 33, 5.630275304, 42.00580776, 0.184105992, 15.6, 125.576
10, -4.2, 0.000131097, 25, 5.630275304, 42.00580776, 0.184105992, 15.6, 129.516
10, -11.1, 1.63871E-05, 42, 6.292853089, 42.0229028, 0.90695088, 29.4, 128.416
6.3, 0, 0.003539606, 58, 7.449832213, 42.00172668, 0.09583074, 7.2, 123.583
80, 0, 0.001048772, 84, 5.630275304, 42.00150092, 0.047579164, 7.2, 120.193
16, -7.7, 0.000131097, 73, 7.449832213, 42.0271925, 1.50918375, 22.6, 128.2
31.5, -2.1, 0.000131097, 36, 8.443932733, 42.00142788, 0.101807844, 11.4, 133.728
50, -6.15, 0.001048772, 64, 7.449832213, 42.0368233, 2.04369315, 19.5, 112.014
50, -6.3, 0.003539606, 71, 6.292853089, 42.0584113, 2.31308748, 19.8, 104.13
4, -2, 0.01194617, 74, 5.630275304, 42.00509068, 0.161374556, 11.2, 126.149
10, 0, 0.028316847, 40, 6.292853089, 42.00310138, 0.122814648, 7.2, 127.899
20, -8.7, 1.63871E-05, 53, 8.443932733, 42.016104, 1.1482152, 24.6, 126.826
40, -6.15, 0.001048772, 51, 7.449832213, 42.0368233, 2.04369315, 19.5, 114.404
16, -2.1, 0.000131097, 28, 6.292853089, 42.00152689, 0.060464844, 11.4, 130.197
8, -4.95, 0.003539606, 37, 7.449832213, 42.0208438, 1.1568309, 17.1, 126.565
10, 0, 0.001048772, 23, 5.630275304, 42.00150092, 0.047579164, 7.2, 131.313
20, -2, 0.01194617, 46, 7.449832213, 42.0042862, 0.2378841, 11.2, 124.254
25, 0, 0.000131097, 75, 6.292853089, 42.00079182, 0.031356151, 7.2, 134.938
63, -4.95, 0.003539606, 12, 6.292853089, 42.0233328, 0.92397888, 17.1, 109.885
12.5, -9.85, 0.000131097, 54, 6.292853089, 42.036484, 1.4447664, 26.9, 118.634
50, -2.4, 1.63871E-05, 75, 7.449832213, 42.00087322, 0.048463599, 12, 135.484
31.5, -0.75, 0.028316847, 80, 8.443932733, 42.00336729, 0.240087777, 8.7, 123.392
100, -6.35, 1.63871E-05, 38, 6.292853089, 42.0130253, 0.51580188, 19.9, 116.017
31.5, 0, 0.003539606, 84, 7.449832213, 42.00172668, 0.09583074, 7.2, 127.753
31.5, -2.7, 0.003539606, 76, 8.443932733, 42.00401199, 0.286054887, 12.6, 123.311
100, 0, 0.028316847, 66, 8.443932733, 42.00266337, 0.189898281, 7.2, 115.391
8, 0, 0.003539606, 19, 5.630275304, 42.00209405, 0.066381385, 7.2, 129.117
6.3, -3.65, 0.01194617, 30, 8.443932733, 42.0104404, 0.74440052, 14.5, 133.768
63, -1, 0.01194617, 32, 7.449832213, 42.00313525, 0.174006375, 9.2, 118.712
25, 0, 0.000131097, 19, 5.630275304, 42.00081216, 0.025745599, 7.2, 134.87
2, -4.95, 0.003539606, 93, 7.449832213, 42.0208438, 1.1568309, 17.1, 131.955
10, -11.1, 1.63871E-05, 26, 8.443932733, 42.0214178, 1.52708914, 29.4, 134.247
6.3, 0, 0.01194617, 59, 7.449832213, 42.00229336, 0.12728148, 7.2, 126.16
12.5, -1, 0.01194617, 37, 6.292853089, 42.00346574, 0.137243304, 9.2, 128.257
25, 0, 0.003539606, 2, 8.443932733, 42.0015988, 0.11399444, 7.2, 128.127
6.3, -4.45, 0.001048772, 22, 6.292853089, 42.0124596, 0.49340016, 16.1, 131.92
40, -11.1, 1.63871E-05, 23, 8.443932733, 42.0214178, 1.52708914, 29.4, 123.917
100, 0, 0.003539606, 86, 7.449832213, 42.00172668, 0.09583074, 7.2, 119.253
6.3, -1.65, 0.001048772, 30, 7.449832213, 42.002211, 0.1227105, 10.5, 126.599
50, -6.35, 1.63871E-05, 2, 6.292853089, 42.0130253, 0.51580188, 19.9, 125.107
16, -2, 0.01194617, 49, 5.630275304, 42.00509068, 0.161374556, 11.2, 125.229
100, -1.5, 0.028316847, 39, 7.449832213, 42.00452492, 0.25113306, 10.2, 112.169
20, -6.3, 0.003539606, 22, 8.443932733, 42.0483159, 3.44492367, 19.8, 117.504
125, -2.4, 1.63871E-05, 81, 8.443932733, 42.00084863, 0.060507533, 12, 127.688
31.5, -1.35, 0.003539606, 51, 6.292853089, 42.00294804, 0.116742384, 9.9, 122.919
4, -2.7, 0.003539606, 72, 7.449832213, 42.00433288, 0.24047484, 12.6, 126.807
8, -4.75, 1.63871E-05, 83, 8.443932733, 42.00420654, 0.299926302, 16.7, 127.206
3.15, -3.6, 0.003539606, 40, 8.443932733, 42.00752039, 0.536203807, 14.4, 128.713
40, -6.15, 0.001048772, 7, 5.630275304, 42.0418756, 1.32745652, 19.5, 108.407
20, -4.2, 0.000131097, 54, 7.449832213, 42.00544854, 0.30239397, 15.6, 133.042
63, -1, 0.01194617, 30, 5.630275304, 42.00372371, 0.118041607, 9.2, 115.137
2.5, -3.65, 0.01194617, 96, 5.630275304, 42.0132672, 0.42057024, 14.5, 130.089
31.5, -2.4, 1.63871E-05, 5, 7.449832213, 42.00087322, 0.048463599, 12, 132.354
50, -1.65, 0.001048772, 23, 7.449832213, 42.002211, 0.1227105, 10.5, 124.839
31.5, -1.5, 0.028316847, 68, 6.292853089, 42.00495741, 0.196313436, 10.2, 118.922
25, -4.75, 1.63871E-05, 48, 5.630275304, 42.00461377, 0.146256509, 16.7, 130.086
4, -8.7, 1.63871E-05, 10, 8.443932733, 42.016104, 1.1482152, 24.6, 117.396
50, 0, 0.01194617, 21, 8.443932733, 42.00214345, 0.152827985, 7.2, 124.304
100, 0, 0.028316847, 1, 7.449832213, 42.00283081, 0.157109955, 7.2, 113.076
6.3, -9.85, 0.000131097, 41, 6.292853089, 42.036484, 1.4447664, 26.9, 120.324
20, -6.15, 0.001048772, 56, 7.449832213, 42.0368233, 2.04369315, 19.5, 118.564
5, -6.3, 0.003539606, 19, 6.292853089, 42.0584113, 2.31308748, 19.8, 114.9
50, -2, 0.01194617, 58, 5.630275304, 42.00509068, 0.161374556, 11.2, 115.969
3.15, -9.85, 0.000131097, 40, 8.443932733, 42.0341183, 2.43263479, 26.9, 121.235
31.5, -6.15, 0.001048772, 19, 8.443932733, 42.0337792, 2.40845696, 19.5, 120.798
100, -2.1, 0.000131097, 9, 6.292853089, 42.00152689, 0.060464844, 11.4, 116.967
2, 0, 0.028316847, 2, 5.630275304, 42.00331266, 0.105011322, 7.2, 117.195
2.5, -8.7, 1.63871E-05, 38, 5.630275304, 42.0176631, 0.55992027, 24.6, 116.956
5, -4.95, 0.003539606, 53, 5.630275304, 42.0252785, 0.80132845, 17.1, 127.179
5, -1.35, 0.003539606, 40, 6.292853089, 42.00294804, 0.116742384, 9.9, 121.009
16, -1.5, 0.028316847, 50, 6.292853089, 42.00495741, 0.196313436, 10.2, 122.782
20, -1.5, 0.028316847, 25, 6.292853089, 42.00495741, 0.196313436, 10.2, 120.532
6.3, -2, 0.028316847, 90, 6.292853089, 42.00579636, 0.229535856, 11.2, 131.073
25, 0, 0.01194617, 40, 7.449832213, 42.00229336, 0.12728148, 7.2, 126.54
12.5, -8.7, 1.63871E-05, 61, 6.292853089, 42.0172206, 0.68193576, 24.6, 131.364
10, -4.45, 0.001048772, 89, 6.292853089, 42.0124596, 0.49340016, 16.1, 129.58
40, -6.35, 1.63871E-05, 86, 8.443932733, 42.0121808, 0.86849104, 19.9, 131.808
63, -4.75, 1.63871E-05, 47, 6.292853089, 42.00449821, 0.178129116, 16.7, 120.324
3.15, -11.1, 1.63871E-05, 58, 8.443932733, 42.0214178, 1.52708914, 29.4, 115.857
10, -8.7, 1.63871E-05, 70, 6.292853089, 42.0172206, 0.68193576, 24.6, 138.274
4, -4.45, 0.001048772, 9, 8.443932733, 42.0103088, 0.73501744, 16.1, 138.123
63, -1.5, 0.028316847, 59, 7.449832213, 42.00452492, 0.25113306, 10.2, 115.679
4, -1, 0.01194617, 43, 6.292853089, 42.00346574, 0.137243304, 9.2, 122.147
8, -4.95, 0.003539606, 25, 8.443932733, 42.0193001, 1.37609713, 17.1, 128.879
5, -8.7, 1.63871E-05, 56, 5.630275304, 42.0176631, 0.55992027, 24.6, 127.676
31.5, -4.75, 1.63871E-05, 12, 6.292853089, 42.00449821, 0.178129116, 16.7, 129.934
200, -2.4, 1.63871E-05, 83, 8.443932733, 42.00084863, 0.060507533, 12, 119.708
12.5, 0, 0.028316847, 16, 6.292853089, 42.00310138, 0.122814648, 7.2, 125.499
63, -1.5, 0.028316847, 24, 6.292853089, 42.00495741, 0.196313436, 10.2, 114.042
2.5, -7.7, 0.000131097, 72, 7.449832213, 42.0271925, 1.50918375, 22.6, 124.17
50, 0, 0.028316847, 16, 7.449832213, 42.00283081, 0.157109955, 7.2, 119.606
40, 0, 0.003539606, 23, 5.630275304, 42.00209405, 0.066381385, 7.2, 123.807
63, -2.7, 0.003539606, 87, 6.292853089, 42.00485029, 0.192071484, 12.6, 116.677
5, -7.7, 0.000131097, 10, 7.449832213, 42.0271925, 1.50918375, 22.6, 127.22
63, -1, 0.01194617, 100, 6.292853089, 42.00346574, 0.137243304, 9.2, 116.417
8, -8.7, 1.63871E-05, 10, 8.443932733, 42.016104, 1.1482152, 24.6, 124.276
10, -1.5, 0.028316847, 38, 8.443932733, 42.00425727, 0.303543351, 10.2, 129.004
12.5, 0, 0.000131097, 69, 5.630275304, 42.00081216, 0.025745599, 7.2, 129.27
31.5, -6.15, 0.001048772, 48, 5.630275304, 42.0418756, 1.32745652, 19.5, 110.307
20, -2.65, 0.01194617, 93, 8.443932733, 42.0051942, 0.37034646, 12.5, 125.89
20, 0, 0.000131097, 17, 6.292853089, 42.00079182, 0.031356151, 7.2, 132.918
25, -1.35, 0.003539606, 7, 8.443932733, 42.00243851, 0.173865763, 9.9, 128.334
3.15, -2.65, 0.01194617, 79, 6.292853089, 42.00614329, 0.243274284, 12.5, 129.691
40, -3.65, 0.01194617, 81, 5.630275304, 42.0132672, 0.42057024, 14.5, 112.639
31.5, -11.1, 1.63871E-05, 53, 8.443932733, 42.0214178, 1.52708914, 29.4, 124.127
100, -2.65, 0.01194617, 16, 8.443932733, 42.0051942, 0.37034646, 12.5, 111.35
25, -8.7, 1.63871E-05, 9, 7.449832213, 42.0165706, 0.9196683, 24.6, 124.931
8, -8.7, 1.63871E-05, 13, 5.630275304, 42.0176631, 0.55992027, 24.6, 139.226
5, -3.65, 0.01194617, 82, 7.449832213, 42.0111706, 0.6199683, 14.5, 133.174
5, -2.65, 0.01194617, 50, 6.292853089, 42.00614329, 0.243274284, 12.5, 132.251
3.15, -5.6, 0.000131097, 53, 6.292853089, 42.0150478, 0.59589288, 18.4, 128.99
12.5, -7.7, 0.000131097, 52, 8.443932733, 42.0264269, 1.88423797, 22.6, 130.845
40, -1.5, 0.028316847, 51, 8.443932733, 42.00425727, 0.303543351, 10.2, 120.264
4, -4.75, 1.63871E-05, 17, 5.630275304, 42.00461377, 0.146256509, 16.7, 124.756
6.3, -4.95, 0.003539606, 47, 5.630275304, 42.0252785, 0.80132845, 17.1, 126.049
80, 0, 0.001048772, 30, 8.443932733, 42.00121072, 0.086324336, 7.2, 125.465
6.3, -2.4, 1.63871E-05, 33, 5.630275304, 42.00093079, 0.029506011, 12, 120.078
10, -5.6, 0.000131097, 26, 6.292853089, 42.0150478, 0.59589288, 18.4, 132.43
50, -4.95, 0.003539606, 5, 8.443932733, 42.0193001, 1.37609713, 17.1, 114.569
3.15, -6.15, 0.001048772, 64, 6.292853089, 42.0408268, 1.61674128, 19.5, 129.415
80, 0, 0.003539606, 25, 5.630275304, 42.00209405, 0.066381385, 7.2, 117.957
2.5, -6.15, 0.001048772, 26, 7.449832213, 42.0368233, 2.04369315, 19.5, 133.294
25, -1, 0.01194617, 99, 6.292853089, 42.00346574, 0.137243304, 9.2, 121.397
10, -2.7, 0.003539606, 8, 8.443932733, 42.00401199, 0.286054887, 12.6, 133.201
3.15, -8.7, 1.63871E-05, 88, 8.443932733, 42.016104, 1.1482152, 24.6, 115.846
16, -1.35, 0.003539606, 8, 8.443932733, 42.00243851, 0.173865763, 9.9, 130.644
50, -1, 0.01194617, 23, 5.630275304, 42.00372371, 0.118041607, 9.2, 118.267
31.5, -3.65, 0.01194617, 26, 8.443932733, 42.0104404, 0.74440052, 14.5, 120.458
2.5, -4.45, 0.001048772, 19, 8.443932733, 42.0103088, 0.73501744, 16.1, 134.533
20, -4.75, 1.63871E-05, 72, 5.630275304, 42.00461377, 0.146256509, 16.7, 130.496
25, -6.15, 0.001048772, 43, 7.449832213, 42.0368233, 2.04369315, 19.5, 117.054
2.5, -7.7, 0.000131097, 23, 6.292853089, 42.0282593, 1.11906828, 22.6, 122.893
31.5, -3.6, 0.003539606, 43, 6.292853089, 42.00909175, 0.3600333, 14.4, 111.818
6.3, -5.6, 0.000131097, 57, 6.292853089, 42.0150478, 0.59589288, 18.4, 133.13
8, -3.35, 0.001048772, 46, 6.292853089, 42.00578076, 0.228918096, 13.9, 134.625
20, -1.5, 0.028316847, 4, 8.443932733, 42.00425727, 0.303543351, 10.2, 125.524
6.3, -1, 0.01194617, 32, 5.630275304, 42.00372371, 0.118041607, 9.2, 129.057
6.3, -3.35, 0.001048772, 23, 7.449832213, 42.0052139, 0.28937145, 13.9, 133.023
2.5, -2, 0.028316847, 3, 8.443932733, 42.00497773, 0.354912149, 11.2, 126.395
6.3, -2, 0.01194617, 84, 7.449832213, 42.0042862, 0.2378841, 11.2, 129.964
40, -2, 0.028316847, 95, 8.443932733, 42.00497773, 0.354912149, 11.2, 119.535
50, 0, 0.001048772, 14, 7.449832213, 42.00131983, 0.073250565, 7.2, 128.36
125, -1.35, 0.003539606, 56, 8.443932733, 42.00243851, 0.173865763, 9.9, 113.034
25, -4.75, 1.63871E-05, 51, 7.449832213, 42.0043284, 0.2402262, 16.7, 134.152
16, -7.7, 0.000131097, 53, 8.443932733, 42.0264269, 1.88423797, 22.6, 130.065
20, -0.75, 0.028316847, 11, 6.292853089, 42.00392107, 0.155274372, 8.7, 122.101
10, 0, 0.003539606, 22, 5.630275304, 42.00209405, 0.066381385, 7.2, 130.987
4, -6.15, 0.001048772, 11, 8.443932733, 42.0337792, 2.40845696, 19.5, 139.428
100, -1.65, 0.001048772, 9, 8.443932733, 42.00202822, 0.144612086, 10.5, 116.694
50, 0, 0.001048772, 55, 6.292853089, 42.00146332, 0.057947472, 7.2, 126.021
80, 0, 0.028316847, 16, 8.443932733, 42.00266337, 0.189898281, 7.2, 117.151
8, -3.35, 0.001048772, 82, 5.630275304, 42.00592927, 0.187957859, 13.9, 132.886
100, -2, 0.028316847, 3, 8.443932733, 42.00497773, 0.354912149, 11.2, 110.905
31.5, 0, 0.000131097, 51, 8.443932733, 42.00074048, 0.052796081, 7.2, 135.07
80, -1.5, 0.028316847, 33, 6.292853089, 42.00495741, 0.196313436, 10.2, 110.652
20, -7.7, 0.000131097, 64, 5.630275304, 42.0289853, 0.91883401, 22.6, 120.835
16, -6.3, 0.003539606, 27, 8.443932733, 42.0483159, 3.44492367, 19.8, 120.534
20, -6.35, 1.63871E-05, 94, 6.292853089, 42.0130253, 0.51580188, 19.9, 129.567
12.5, -6.3, 0.003539606, 48, 6.292853089, 42.0584113, 2.31308748, 19.8, 112.16
12.5, -6.15, 0.001048772, 24, 5.630275304, 42.0418756, 1.32745652, 19.5, 118.767
5, 0, 0.003539606, 34, 5.630275304, 42.00209405, 0.066381385, 7.2, 121.617
25, -2.7, 0.003539606, 58, 6.292853089, 42.00485029, 0.192071484, 12.6, 120.497
2, -7.7, 0.000131097, 47, 8.443932733, 42.0264269, 1.88423797, 22.6, 123.595
25, 0, 0.003539606, 96, 6.292853089, 42.00193287, 0.076541652, 7.2, 126.863
2, -6.3, 0.003539606, 3, 6.292853089, 42.0584113, 2.31308748, 19.8, 114.75
63, 0, 0.028316847, 42, 6.292853089, 42.00310138, 0.122814648, 7.2, 116.229
20, -3.35, 0.001048772, 22, 7.449832213, 42.0052139, 0.28937145, 13.9, 129.653
20, 0, 0.003539606, 5, 7.449832213, 42.00172668, 0.09583074, 7.2, 129.673
10, -7.7, 0.000131097, 8, 7.449832213, 42.0271925, 1.50918375, 22.6, 130.4
16, 0, 0.028316847, 37, 6.292853089, 42.00310138, 0.122814648, 7.2, 124.049
40, -2, 0.01194617, 46, 8.443932733, 42.00400603, 0.285629939, 11.2, 121.728
6.3, -2.7, 0.003539606, 39, 6.292853089, 42.00485029, 0.192071484, 12.6, 132.357
8, -2.65, 0.01194617, 69, 6.292853089, 42.00614329, 0.243274284, 12.5, 129.491
50, -2.4, 1.63871E-05, 44, 8.443932733, 42.00084863, 0.060507533, 12, 135.468
160, -0.75, 0.028316847, 78, 8.443932733, 42.00336729, 0.240087777, 8.7, 106.582
4, -4.95, 0.003539606, 89, 6.292853089, 42.0233328, 0.92397888, 17.1, 128.345
40, -6.35, 1.63871E-05, 1, 6.292853089, 42.0130253, 0.51580188, 19.9, 126.537
10, -1.5, 0.028316847, 46, 6.292853089, 42.00495741, 0.196313436, 10.2, 128.312
40, -1, 0.01194617, 90, 8.443932733, 42.00293031, 0.208931103, 9.2, 124.086
2, -9.85, 0.000131097, 26, 8.443932733, 42.0341183, 2.43263479, 26.9, 118.005
10, -6.35, 1.63871E-05, 32, 6.292853089, 42.0130253, 0.51580188, 19.9, 130.947
31.5, -7.7, 0.000131097, 49, 8.443932733, 42.0264269, 1.88423797, 22.6, 125.715
50, -8.7, 1.63871E-05, 67, 6.292853089, 42.0172206, 0.68193576, 24.6, 119.854
8, 0, 0.028316847, 84, 8.443932733, 42.00266337, 0.189898281, 7.2, 126.201
16, -2, 0.028316847, 47, 8.443932733, 42.00497773, 0.354912149, 11.2, 126.645
16, -1.65, 0.001048772, 5, 6.292853089, 42.00245138, 0.097074648, 10.5, 133.071
2, -4.75, 1.63871E-05, 45, 5.630275304, 42.00461377, 0.146256509, 16.7, 119.146
25, -2.1, 0.000131097, 73, 6.292853089, 42.00152689, 0.060464844, 11.4, 133.847
8, -9.85, 0.000131097, 94, 8.443932733, 42.0341183, 2.43263479, 26.9, 124.555
3.15, -5.6, 0.000131097, 33, 8.443932733, 42.014072, 1.0033336, 18.4, 128.381
5, -2.7, 0.003539606, 15, 8.443932733, 42.00401199, 0.286054887, 12.6, 126.291
12.5, 0, 0.000131097, 72, 7.449832213, 42.00076193, 0.042287115, 7.2, 127.076
2.5, -7.8, 0.001048772, 13, 8.443932733, 42.0437259, 3.11765667, 22.8, 132.158
20, -6.15, 0.001048772, 5, 5.630275304, 42.0418756, 1.32745652, 19.5, 110.447
16, 0, 0.01194617, 92, 5.630275304, 42.0027238, 0.08634446, 7.2, 125.625
4, -6.15, 0.001048772, 17, 6.292853089, 42.0408268, 1.61674128, 19.5, 128.265
31.5, 0, 0.028316847, 7, 8.443932733, 42.00266337, 0.189898281, 7.2, 125.201
100, -1.35, 0.003539606, 89, 8.443932733, 42.00243851, 0.173865763, 9.9, 116.724
8, -4.75, 1.63871E-05, 65, 5.630275304, 42.00461377, 0.146256509, 16.7, 130.746
31.5, 0, 0.028316847, 92, 6.292853089, 42.00310138, 0.122814648, 7.2, 120.319
20, -2.4, 1.63871E-05, 5, 8.443932733, 42.00084863, 0.060507533, 12, 128.398
63, -2.65, 0.01194617, 17, 8.443932733, 42.0051942, 0.37034646, 12.5, 116.92
5, 0, 0.028316847, 21, 6.292853089, 42.00310138, 0.122814648, 7.2, 126.959
4, -2.65, 0.01194617, 41, 6.292853089, 42.00614329, 0.243274284, 12.5, 131.221
16, 0, 0.001048772, 44, 7.449832213, 42.00131983, 0.073250565, 7.2, 132.05
125, 0, 0.000131097, 97, 7.449832213, 42.00076193, 0.042287115, 7.2, 125.376
12.5, 0, 0.001048772, 49, 6.292853089, 42.00146332, 0.057947472, 7.2, 132.271
63, -11.1, 1.63871E-05, 32, 8.443932733, 42.0214178, 1.52708914, 29.4, 123.127
6.3, -3.35, 0.001048772, 10, 6.292853089, 42.00578076, 0.228918096, 13.9, 133.355
25, 0, 0.001048772, 93, 5.630275304, 42.00150092, 0.047579164, 7.2, 132.003
16, 0, 0.000131097, 98, 8.443932733, 42.00074048, 0.052796081, 7.2, 129.68
4, -7.8, 0.001048772, 25, 8.443932733, 42.0437259, 3.11765667, 22.8, 134.058
40, -8.7, 1.63871E-05, 15, 7.449832213, 42.0165706, 0.9196683, 24.6, 121.771
31.5, 0, 0.001048772, 98, 5.630275304, 42.00150092, 0.047579164, 7.2, 129.973
8, 0, 0.028316847, 65, 5.630275304, 42.00331266, 0.105011322, 7.2, 129.235
6.3, -5.6, 0.000131097, 67, 8.443932733, 42.014072, 1.0033336, 18.4, 133.611
80, 0, 1.63871E-05, 72, 6.292853089, 42.00042846, 0.016967174, 7.2, 135.866
25, -3.65, 0.01194617, 6, 6.292853089, 42.0123481, 0.48898476, 14.5, 116.559
12.5, -2.65, 0.01194617, 31, 6.292853089, 42.00614329, 0.243274284, 12.5, 125.721
4, -4.75, 1.63871E-05, 100, 6.292853089, 42.00449821, 0.178129116, 16.7, 121.154
40, -2.1, 0.000131097, 94, 8.443932733, 42.00142788, 0.101807844, 11.4, 133.598
63, 0, 0.01194617, 37, 7.449832213, 42.00229336, 0.12728148, 7.2, 118.41
50, -2.1, 0.000131097, 3, 8.443932733, 42.00142788, 0.101807844, 11.4, 132.828
8, -1, 0.01194617, 83, 8.443932733, 42.00293031, 0.208931103, 9.2, 128.216
3.15, -6.15, 0.001048772, 83, 7.449832213, 42.0368233, 2.04369315, 19.5, 135.674
16, 0, 0.01194617, 34, 6.292853089, 42.00253511, 0.100390356, 7.2, 127.095
100, 0, 1.63871E-05, 100, 8.443932733, 42.00040068, 0.028568627, 7.2, 130.787
3.15, -11.1, 1.63871E-05, 16, 6.292853089, 42.0229028, 0.90695088, 29.4, 120.716
12.5, -2.1, 0.000131097, 56, 6.292853089, 42.00152689, 0.060464844, 11.4, 128.427
10, -7.7, 0.000131097, 77, 8.443932733, 42.0264269, 1.88423797, 22.6, 131.865
50, -6.15, 0.001048772, 21, 5.630275304, 42.0418756, 1.32745652, 19.5, 107.147
40, -2, 0.028316847, 64, 6.292853089, 42.00579636, 0.229535856, 11.2, 115.863
16, -1.5, 0.028316847, 77, 5.630275304, 42.00529514, 0.167855938, 10.2, 122.088
16, -1, 0.01194617, 65, 5.630275304, 42.00372371, 0.118041607, 9.2, 125.797
8, -3.6, 0.003539606, 80, 6.292853089, 42.00909175, 0.3600333, 14.4, 132.358
3.15, -2.7, 0.003539606, 16, 6.292853089, 42.00485029, 0.192071484, 12.6, 125.347
16, -5.6, 0.000131097, 61, 6.292853089, 42.0150478, 0.59589288, 18.4, 126.54
25, -4.45, 0.001048772, 27, 8.443932733, 42.0103088, 0.73501744, 16.1, 123.623
25, -3.65, 0.01194617, 63, 5.630275304, 42.0132672, 0.42057024, 14.5, 114.709
31.5, -7.7, 0.000131097, 65, 6.292853089, 42.0282593, 1.11906828, 22.6, 120.513
25, -2, 0.01194617, 9, 5.630275304, 42.00509068, 0.161374556, 11.2, 120.209
12.5, -8.7, 1.63871E-05, 77, 8.443932733, 42.016104, 1.1482152, 24.6, 126.356
3.15, -0.75, 0.028316847, 14, 6.292853089, 42.00392107, 0.155274372, 8.7, 121.851
4, -3.65, 0.01194617, 67, 5.630275304, 42.0132672, 0.42057024, 14.5, 130.269
31.5, -2, 0.01194617, 58, 6.292853089, 42.00473801, 0.187625196, 11.2, 120.419
31.5, 0, 0.001048772, 12, 8.443932733, 42.00121072, 0.086324336, 7.2, 131.955
63, -1.5, 0.028316847, 2, 8.443932733, 42.00425727, 0.303543351, 10.2, 116.134
8, -1.65, 0.001048772, 70, 6.292853089, 42.00245138, 0.097074648, 10.5, 129.991
100, -1.5, 0.028316847, 67, 8.443932733, 42.00425727, 0.303543351, 10.2, 110.224
